balancing_on,codneg,nomres,codcvm,doc_env,per_fim,shares_outstanding,net_debt,ebit,roic,market_cap,enterprise_value,earnings_yield,rank_final
2014-04-10,ETER3,ETERNIT,5762,2014-03-17 10:31:17,2013-12-31,89.5,33.724,143.247,0.1876520033900929,748.2199999999999,781.944,0.18319342561615667,4
2014-04-10,EZTC3,EZTEC,20770,2014-03-19 21:13:25,2013-12-31,146.72412,93.607,568.504,0.2064313069599447,4131.7512192,4225.3582192,0.1345457522197104,5
2014-04-10,PTBL3,PORTOBELLO,13773,2014-03-25 20:46:58,2013-12-31,159.009,235.457,138.713,0.2143459388081925,804.5855399999999,1040.04254,0.13337242917006067,6
2014-04-10,HGTX3,CIA HERING,14761,2014-02-20 18:29:17,2013-12-31,164.611,-116.279,405.003,0.3379381500646666,4151.48942,4035.21042,0.10036725668447298,7
2014-04-10,BEEF3,MINERVA,20931,2014-03-11 18:50:11,2013-12-31,145.056023,1865.41,459.517,0.1313452701947737,1469.4175129900002,3334.8275129900003,0.1377933336012326,8
2014-04-10,BEMA3,BEMATECH,20656,2014-02-25 18:06:36,2013-12-31,51.56827,-60.499,58.414,0.1122414079217432,455.8635068,395.36450679999996,0.1477472028857397,9
2014-04-10,EMBR3,EMBRAER,20087,2014-04-02 19:24:18,2013-12-31,740.465,-1005.586,1605.885,0.1412536378455078,14231.737299999999,13226.1513,0.12141740734509819,10
2014-04-10,HBOR3,HELBOR,20877,2014-03-18 20:37:15,2013-12-31,257.7,997.522,456.041,0.11133356340793,1963.674,2961.196,0.15400567878654436,11
2014-04-10,VALE5,VALE,4170,2014-03-17 19:18:56,2013-12-31,5365.305,56511.766,33436.715,0.1102105374199971,159081.29325,215593.05925,0.1550917970936488,12
2014-04-10,RDNI3,RODOBENSIMOB,20451,2014-03-20 18:52:07,2013-12-31,48.575,309.219,158.087,0.0840933706123718,568.3275,877.5464999999999,0.18014657912714596,13
2014-04-10,PCAR4,P.ACUCAR-CBD,14826,2014-03-18 20:52:41,2013-12-31,264.453,1101.639,2948.239,0.1440926342603991,27640.627559999997,28742.266559999996,0.10257503505666467,14
2014-04-10,KLBN4,KLABIN S/A,12653,2014-02-12 09:36:33,2013-12-31,917.683296,3984.214,1119.252,0.0829047641493552,2055.61058304,6039.82458304,0.18531200444842247,15
2014-04-10,RAPT4,RANDON PART,14109,2014-04-02 11:18:19,2013-12-31,243.785,1192.137,446.422,0.10399400541997,2028.2912000000001,3220.4282000000003,0.13862193853599966,16
2014-04-10,GRND3,GRENDENE,19615,2014-02-13 18:44:14,2013-12-31,300.72,-314.289,399.233,0.1503278651113593,4447.6488,4133.3598,0.09658801055741627,17
