cutoff_date,codneg,nomres,doc_env,per_fim,shares_outstanding,net_debt,ebit,roic,market_cap,enterprise_value,earnings_yield,rank_final
2014-04-10,RDNI3,RODOBENSIMOB,2014-03-20 18:52:07,2013-12-31,48575000.0,309219000.0,158087000.0,0.1246157169027807,568327500.0,259108500.0,0.610118927013201,12.0
2014-04-10,BRML3,BR MALLS PAR,2014-03-17 19:38:49,2013-12-31,457066000.0,4278201000.0,1811726000.0,0.1318054394262773,8492286279.999999,4214085279.999999,0.429921532105302,13.0
2014-04-10,CCRO3,CCR SA,2014-03-12 18:32:08,2013-12-31,1765587200.0,6995933000.0,2725018000.0,0.2599842350417508,30456379200.0,23460446200.0,0.11615371578056345,14.0
2014-04-10,NATU3,NATURA,2014-06-10 17:24:09,2013-12-31,431239000.0,1584598000.0,1415996000.0,0.51437493098057,17818795480.0,16234197480.0,0.08722303654027005,15.0
2014-04-10,VALE3,VALE,2014-03-17 19:18:56,2013-12-31,5365305000.0,56511766000.0,33436715000.0,0.1602650666934977,175767391800.0,119255625800.0,0.2803785127594375,16.0
2014-04-10,JSLG3,JSL,2014-02-26 00:02:22,2013-12-31,216799134.0,2744370000.0,354857000.0,0.0944012403203061,3035187876.0,290817876.0,1.220203533843291,17.0
2014-04-10,RENT3,LOCALIZA,2014-03-21 08:28:52,2013-12-31,211793000.0,1332799000.0,652067000.0,0.2438538866951358,7061178620.000001,5728379620.000001,0.1138309684859887,18.0
2014-04-10,GFSA3,GAFISA,2014-02-26 21:24:12,2013-12-31,435559000.0,1035365000.0,401871000.0,0.094561264308747,1615923890.0,580558890.0,0.6922140146712765,19.0
2014-04-10,EUCA4,EUCATEX,2014-02-21 09:17:50,2013-12-31,92619000.0,208511000.0,145182000.0,0.1077037778890558,508478310.0,299967310.0,0.4839927390754679,20.0
2014-04-10,EVEN3,EVEN,2014-02-24 19:08:17,2013-12-31,233293408.0,1118020000.0,330663000.0,0.0962938306809524,1766031098.5600002,648011098.5600002,0.5102736677424106,21.0
2014-04-10,LREN3,LOJAS RENNER,2014-02-20 18:42:23,2013-12-31,125895000.0,980853000.0,650438000.0,0.2628981943376718,8164290749.999999,7183437749.999999,0.09054689727073922,22.0
2014-04-10,EMBR3,EMBRAER,2014-04-02 19:24:18,2013-12-31,740465000.0,-1005586000.0,1605885000.0,0.2140203211254383,14231737300.0,15237323300.0,0.10539154209584829,23.0
2014-04-10,PCAR4,P.ACUCAR-CBD,2014-03-18 20:52:41,2013-12-31,264453000.0,1101639000.0,2948239000.0,0.2134301239148106,27640627560.0,26538988560.0,0.11109085763892428,24.0
2014-04-10,CYRE3,CYRELA REALT,2014-03-20 19:48:31,2013-12-31,416659000.0,2653590000.0,1002012000.0,0.113251921021181,5599896960.0,2946306960.0,0.34009083697103987,25.0
2014-04-10,DIRR3,DIRECIONAL,2014-03-17 19:23:22,2013-12-31,155298749.0,347749000.0,258721000.0,0.1327332519315814,1625977902.0300002,1278228902.0300002,0.2024058442029562,26.0
2014-04-10,ARZZ3,AREZZO CO,2014-03-19 08:00:46,2013-12-31,88637000.0,-87273000.0,148490000.0,0.3475328189033138,2418903730.0,2506176730.0,0.05924961245650062,27.0
2014-04-10,CTIP3,CETIP,2014-03-20 21:42:25,2013-12-31,260378479.0,261465000.0,553104000.0,0.2827644769406239,7199464944.349999,6937999944.349999,0.07972095768758596,28.0
2014-04-10,LEVE3,METAL LEVE,2014-03-14 17:55:09,2013-12-31,128308500.0,267391000.0,311362000.0,0.1896640575031218,2947246245.0,2679855245.0,0.11618612631444576,29.0
2014-04-10,ABEV3,AMBEV S/A,2014-03-24 22:59:07,2013-12-31,15644280000.0,-8680382000.0,15375110000.0,0.4353456702004495,264388331999.99997,273068713999.99997,0.056304912323276994,30.0
2015-04-10,MGLU3,MAGAZ LUIZA,2015-02-26 18:31:29,2014-12-31,181494467.0,848478000.0,490928000.0,0.306266278630895,921991892.36,73513892.36000001,6.678030291144278,1.0
2015-04-10,CVCB3,CVC BRASIL,2015-02-09 20:27:56,2014-12-31,131465335.0,-50499000.0,324084000.0,0.7936874122945581,2107389320.0500002,2157888320.05,0.15018571489023616,2.0
2015-04-10,ECOR3,ECORODOVIAS,2015-03-17 19:39:00,2014-12-31,558699000.0,3525833000.0,1109418000.0,0.2089291959218978,5061812940.0,1535979940.0,0.722286776740066,3.0
2015-04-10,ETER3,ETERNIT,2015-03-12 08:31:33,2014-12-31,179000000.0,79534000.0,127796000.0,0.2150209811859165,553110000.0,473576000.0,0.26985320202037266,4.0
2015-04-10,NATU3,NATURA,2015-02-11 19:21:06,2014-12-31,431239000.0,2285224000.0,1364672000.0,0.3974113421375036,12022943320.0,9737719320.0,0.14014287690518482,5.0
2015-04-10,SEER3,SER EDUCA,2015-04-01 11:32:12,2014-12-31,125213244.0,-28729000.0,229349000.0,0.3835761460923898,1731699164.52,1760428164.52,0.1302802378548258,6.0
2015-04-10,PCAR4,P.ACUCAR-CBD,2015-02-12 19:44:08,2014-12-31,265283000.0,-1421000000.0,4004000000.0,0.3065615190261083,26798888660.0,28219888660.0,0.14188574761017503,7.0
2015-04-10,RAPT4,RANDON PART,2015-03-12 11:27:34,2014-12-31,304731000.0,1058638000.0,369412000.0,0.1318395335872964,1121410080.0,62772080.0,5.884973064457957,8.0
2015-04-10,HGTX3,CIA HERING,2015-02-26 18:09:37,2014-12-31,164611000.0,-158614000.0,357266000.0,0.3894064392787502,2745711480.0,2904325480.0,0.1230116949564482,9.0
2015-04-10,TGMA3,TEGMA,2015-03-26 18:29:15,2014-12-31,66002915.0,281498000.0,134646000.0,0.2091848307362468,1015784861.85,734286861.85,0.18336975233462022,10.0
2015-04-10,CCRO3,CCR SA,2015-04-02 19:03:18,2014-12-31,1765587200.0,8862114000.0,2863150000.0,0.2284611628790088,29432338624.000004,20570224624.000004,0.13918904884779246,11.0
2015-04-10,JBSS3,JBS,2016-08-05 18:06:43,2014-12-31,2943644008.0,25168713000.0,7829443000.0,0.1533929395788854,48422943931.6,23254230931.6,0.3366889673982135,12.0
2015-04-10,BRML3,BR MALLS PAR,2015-03-11 19:26:38,2014-12-31,460601000.0,4447524000.0,1706567000.0,0.1196713539203925,8461240370.0,4013716370.0,0.42518375557264404,13.0
2015-04-10,DIRR3,DIRECIONAL,2015-03-16 19:13:34,2014-12-31,153265983.0,283188000.0,243658000.0,0.1206993147634712,976304311.71,693116311.71,0.3515398438667052,14.0
2015-04-10,RENT3,LOCALIZA,2015-03-24 09:03:18,2014-12-31,211793000.0,1322277000.0,726637000.0,0.2440196240086158,8249337350.000001,6927060350.000001,0.10489832097391788,15.0
2015-04-10,RLOG3,COSAN LOG,2015-03-18 18:53:31,2014-12-31,405856814.0,698222000.0,225092000.0,0.1110758007019095,1245980418.98,547758418.98,0.4109329810377933,16.0
2015-04-10,EZTC3,EZTEC,2015-03-18 22:12:42,2014-12-31,146724120.0,272486000.0,436377000.0,0.162264459644628,3019582389.6,2747096389.6,0.15885026883368303,17.0
2015-04-10,ALSC3,ALIANSCE,2015-03-26 19:21:58,2014-12-31,159060920.0,1026583000.0,418473000.0,0.1429284287104872,2853552904.8,1826969904.8000002,0.22905303415264006,18.0
